tool,trial,crash_id,cat,bug,loc,desc,exp,num_reports,min_asyncs_in_log,max_programs_from_end_of_log_to_asyncs
sect_pos,1,a6b4da7baffd25e630e39e5b0555269fa08f3e94,INFO,task hung,cleanup_net,INFO: task hung in cleanup_net,cover_eval_cp,1,,
sect_pos,1,efb8c5fe01ecb5116825ce2409485c164c048f88,BUG,,,BUG: workqueue lockup,cover_eval_cp,7,,
sect_pos,1,02c21219d36edc62db775545d5206fd5a3150199,KASAN,slab-use-after-free Read,v4l2_fh_init,KASAN: slab-use-after-free Read in v4l2_fh_init,cover_eval_cp,3,,
sect_pos,1,78cdfde87b5285c5274cf9336a873c5072c53d29,WARNING,,p9_client_create,WARNING in p9_client_create,cover_eval_cp,37,,
sect_pos,1,733343303fca2ceb29ab47d7e2a5c230a0c592d6,WARNING,,vkms_get_vblank_timestamp,WARNING in vkms_get_vblank_timestamp,cover_eval_cp,1,,
sect_pos,1,7710d479d25bd92fa8c6ab0739174ea86b45b806,BUG,unable to handle kernel paging request,filldir64,BUG: unable to handle kernel paging request in filldir64,cover_eval_cp,36,,
sect_pos,1,5983a65cfeddb32fed63f8a733b3d810e05ba119,INFO,task hung,_free_event,INFO: task hung in _free_event,cover_eval_cp,5,,
sect_pos,1,b8cd92c1478d22bf00f49d211bf24287a812a0e0,INFO,task hung,bdev_release,INFO: task hung in bdev_release,cover_eval_cp,15,,
sect_pos,1,50b1d6f2fe0ed12b1cab0d134516164980c7323d,BUG,unable to handle kernel paging request,sys_pselect6,BUG: unable to handle kernel paging request in sys_pselect6,cover_eval_cp,32,,
sect_pos,1,36a86325c6d0d517177cae0323b51ae9da7de8fa,BUG,unable to handle kernel paging request,filldir,BUG: unable to handle kernel paging request in filldir,cover_eval_cp,18,,
sect_pos,1,df87226af75e2e906503e976819e1403142d677a,BUG,soft lockup,addrconf_rs_timer,BUG: soft lockup in addrconf_rs_timer,cover_eval_cp,15,,
sect_pos,1,63de2be03e3a7eda16f7bce15a9a80a4da54ae9c,INFO,task hung,tls_sk_proto_close,INFO: task hung in tls_sk_proto_close,cover_eval_cp,2,,
sect_pos,1,4ecda27d97e590e179a8c967d0b1615224f921fd,WARNING,,reserve_ds_buffers,WARNING in reserve_ds_buffers,cover_eval_cp,1,,
sect_pos,1,6e89ce80a10c14d6e832ef9b558bcd045825e05b,BUG,,,BUG: MAX_LOCKDEP_KEYS too low!,cover_eval_cp,5,,
sect_pos,1,3e51bb4cea12a057ab4bf22cba3cefdafeb87eaf,BUG,stack guard page was hit,io_sq_thread,BUG: stack guard page was hit in io_sq_thread,cover_eval_cp,8,,
sect_pos,1,11d137c334a427322898aa51903aed548ece812d,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: executor NUM: exit status NUM err exit status NUM,cover_eval_cp,89,,
sect_pos,1,dfc109c0cf7ead121984212eccd30401ec6dd3eb,WARNING,,ip_rt_bug,WARNING in ip_rt_bug,cover_eval_cp,2,,
sect_pos,1,fe781548d0a22bdbc3f703fc26dd1c43b0da5914,INFO,task hung,linkwatch_event,INFO: task hung in linkwatch_event,cover_eval_cp,3,,
sect_pos,1,ce6ef2b22dd47563c725e7c93f7410f29021547b,OTHER,possible deadlock,task_rq_lock,possible deadlock in task_rq_lock,cover_eval_cp,44,,
